state,candidate,month,positive_cents,net_cents,count
ID,C00901918,2025-04,100000,100000,1
ID,C00901918,2025-09,60000,60000,2
ID,C00901918,2025-10,5205,5205,1
ID,C00901918,2025-11,5205,5205,1
ID,C00901918,2025-12,5205,5205,1
ID,C00901918,2026-01,12705,12705,4
ID,C00901918,2026-02,457637,457637,5
ID,C00901918,2026-03,283383,283383,11
ID,C00901918,2026-04,42169,42169,6
ID,C00901918,2026-05,75011,75011,6
ID,C00901918,2026-06,125205,125205,7
ID,C00919084,2025-09,136896,136896,6
ID,C00919084,2025-10,778500,778500,9
ID,C00919084,2025-11,40000,40000,5
ID,C00919084,2025-12,71000,71000,7
ID,C00919084,2026-01,162500,162500,16
ID,C00919084,2026-02,429900,429900,49
ID,C00919084,2026-03,658320,658320,49
ID,C00919084,2026-04,273245,273245,55
ID,C00919084,2026-05,929265,929265,92
ID,C00919084,2026-06,846213,846213,87
IL,C00369033,2025-03,384000,384000,4
IL,C00369033,2025-04,7500,7500,2
IL,C00369033,2025-05,300000,292500,2
IL,C00369033,2025-06,152000,152000,4
IL,C00369033,2025-07,150000,150000,2
IL,C00369033,2025-11,10000,10000,1
IL,C00369033,2025-12,559900,559900,3
IL,C00369033,2026-01,500,500,1
IL,C00369033,2026-02,437500,437500,4
IL,C00369033,2026-03,125000,125000,2
IL,C00369033,2026-04,3383500,3383500,22
IL,C00369033,2026-05,271516,271516,9
IL,C00901918,2025-06,800000,800000,3
IL,C00901918,2025-07,7500,7500,1
IL,C00901918,2025-08,10000,10000,1
IL,C00901918,2025-09,1364000,1364000,12
IL,C00901918,2025-10,30000,30000,2
IL,C00901918,2025-11,1082820,1082820,7
IL,C00901918,2025-12,140000,140000,7
IL,C00901918,2026-01,38000,38000,5
IL,C00901918,2026-02,156249,156249,15
IL,C00901918,2026-03,242067,242067,21
IL,C00901918,2026-04,192949,192949,18
IL,C00901918,2026-05,844548,844548,52
IL,C00901918,2026-06,275542,275542,43
IL,C00919084,2025-07,5000,5000,1
IL,C00919084,2025-09,1934785,1934785,44
IL,C00919084,2025-10,1331800,1331800,58
IL,C00919084,2025-11,414124,414124,39
IL,C00919084,2025-12,3691700,3691700,82
IL,C00919084,2026-01,2279000,2279000,160
IL,C00919084,2026-02,8419266,8419266,412
IL,C00919084,2026-03,8841555,8841555,414
IL,C00919084,2026-04,3095501,3095501,332
IL,C00919084,2026-05,8791112,8791112,619
IL,C00919084,2026-06,9436250,9436250,540
IN,C00369033,2025-01,1295,1295,7
IN,C00369033,2025-02,1195,1195,6
IN,C00369033,2025-03,26195,26195,7
IN,C00369033,2025-04,800,800,4
IN,C00369033,2025-05,51590,51590,9
IN,C00369033,2025-06,1195,1195,6
IN,C00369033,2025-07,1195,1195,6
IN,C00369033,2025-08,1195,1195,6
IN,C00369033,2025-09,100400,100400,4
IN,C00369033,2026-02,350000,350000,1
IN,C00369033,2026-03,30000,30000,1
IN,C00369033,2026-05,100499,100499,3
IN,C00901918,2025-04,83076,83076,3
IN,C00901918,2025-05,25000,25000,1
IN,C00901918,2025-10,30770,30770,4
IN,C00901918,2025-11,15410,15410,2
IN,C00901918,2025-12,10410,10410,1
IN,C00901918,2026-01,25820,25820,3
IN,C00901918,2026-02,243423,243423,5
IN,C00901918,2026-03,87793,87793,8
IN,C00901918,2026-04,150592,150592,13
IN,C00901918,2026-05,153424,153424,22
IN,C00901918,2026-06,94513,94513,22
IN,C00919084,2025-09,100000,100000,6
IN,C00919084,2025-10,199600,199600,17
IN,C00919084,2025-11,96000,96000,13
IN,C00919084,2025-12,258625,258625,20
IN,C00919084,2026-01,382000,382000,52
IN,C00919084,2026-02,1370500,1370500,130
IN,C00919084,2026-03,1419101,1419101,110
IN,C00919084,2026-04,531120,531120,94
IN,C00919084,2026-05,1894526,1894526,200
IN,C00919084,2026-06,1962036,1962036,173
KS,C00369033,2025-01,3900,3900,5
KS,C00369033,2025-02,900,900,2
KS,C00369033,2025-03,28900,28900,8
KS,C00369033,2025-04,600,-2200,1
KS,C00369033,2025-05,100000,100000,2
KS,C00369033,2025-06,50000,50000,1
KS,C00369033,2025-07,50000,50000,1
KS,C00369033,2025-08,850000,850000,3
KS,C00369033,2025-09,100000,100000,2
KS,C00369033,2025-10,50000,50000,1
KS,C00369033,2025-11,150000,150000,2
KS,C00369033,2025-12,50000,50000,1
KS,C00369033,2026-01,150000,150000,2
KS,C00369033,2026-02,102051,102051,2
KS,C00369033,2026-03,1181000,1181000,8
KS,C00369033,2026-04,255000,255000,6
KS,C00901918,2025-07,5000,5000,1
KS,C00901918,2025-08,5000,5000,1
KS,C00901918,2025-09,40000,40000,4
KS,C00901918,2025-10,25000,25000,4
KS,C00901918,2025-11,62500,62500,3
KS,C00901918,2025-12,20000,20000,3
KS,C00901918,2026-01,20000,20000,3
KS,C00901918,2026-02,176000,176000,10
KS,C00901918,2026-03,172400,172400,15
KS,C00901918,2026-04,60000,60000,6
KS,C00901918,2026-05,667836,667836,29
KS,C00901918,2026-06,320827,320827,25
KS,C00919084,2025-09,525000,525000,8
KS,C00919084,2025-10,271000,271000,16
KS,C00919084,2025-11,52500,52500,11
KS,C00919084,2025-12,126000,126000,21
KS,C00919084,2026-01,215300,215300,26
KS,C00919084,2026-02,905550,905550,73
KS,C00919084,2026-03,610400,610400,65
KS,C00919084,2026-04,380826,380826,75
KS,C00919084,2026-05,888206,888206,103
KS,C00919084,2026-06,806196,806196,80
KY,C00369033,2025-05,50000,50000,1
KY,C00369033,2025-06,650000,650000,6
KY,C00369033,2025-07,50000,50000,1
KY,C00369033,2025-09,50000,50000,1
KY,C00369033,2026-05,250000,250000,2
KY,C00901918,2025-04,10410,10410,1
KY,C00901918,2025-05,10410,10410,1
KY,C00901918,2025-06,2800000,2800000,2
KY,C00901918,2025-07,0,-1400000,0
KY,C00901918,2026-02,33525,33525,2
KY,C00901918,2026-03,6246,6246,2
KY,C00901918,2026-04,36435,36435,2
KY,C00901918,2026-05,92485,92485,7
KY,C00901918,2026-06,15615,-62460,2
KY,C00919084,2025-09,150000,150000,5
KY,C00919084,2025-10,402000,402000,15
KY,C00919084,2025-11,67500,67500,9
KY,C00919084,2025-12,281000,281000,17
KY,C00919084,2026-01,256126,256126,27
KY,C00919084,2026-02,2047426,2047426,64
KY,C00919084,2026-03,361700,361700,40
KY,C00919084,2026-04,207012,207012,53
KY,C00919084,2026-05,1029294,1029294,97
KY,C00919084,2026-06,656230,656230,73
LA,C00369033,2025-05,150000,150000,3
LA,C00369033,2025-06,100000,100000,2
LA,C00369033,2025-09,25000,25000,1
LA,C00369033,2025-11,52051,52051,1
LA,C00369033,2026-01,13000,13000,4
LA,C00369033,2026-02,72645,72645,15
LA,C00369033,2026-03,602500,602500,3
LA,C00369033,2026-04,50580,50580,4
LA,C00901918,2025-04,1400000,1400000,2
LA,C00901918,2025-06,350000,350000,2
LA,C00901918,2025-09,47500,47500,2
LA,C00901918,2025-10,33013,33013,3
LA,C00901918,2025-11,15000,15000,1
LA,C00901918,2025-12,25000,25000,1
LA,C00901918,2026-02,48123,48123,3
LA,C00901918,2026-03,169527,169527,9
LA,C00901918,2026-04,69157,69157,7
LA,C00901918,2026-05,175940,175940,13
LA,C00901918,2026-06,279230,279230,13
LA,C00919084,2025-09,582500,582500,11
LA,C00919084,2025-10,103391,103391,17
LA,C00919084,2025-11,171100,171100,17
LA,C00919084,2025-12,346940,346940,23
LA,C00919084,2026-01,476926,476926,40
LA,C00919084,2026-02,1088200,1088200,82
LA,C00919084,2026-03,2296526,2296526,105
LA,C00919084,2026-04,635385,635385,95
LA,C00919084,2026-05,1943726,1943726,159
LA,C00919084,2026-06,1291024,1291024,145
MA,C00369033,2025-03,623640,623640,3
